,title,details
0, Bonus kart Petrol ofisi akaryakıt kampanyası 16 Mayıs – 30 Haziran 2020," Bonus kredi kartı sahipleri Petrol ofisi akaryakıt istasyonlarından mobil ödeme QR ile yapacakları ilk 150 TL harcamada ekstra 10 TL bonus kazanacaklar. Kampanyay bonus flaş uygulamasından katılabilirsiniz.  BonusFlaş ile Mobil Ödeme Nasıl Yapılır?
Mobil Ödeme İlk Tanımlama:
1) Android 5 ve üzeri işletim..."
1, Bp akaryakıt Axess kredi kartı kampanyası 16 Mayıs – 30 Haziran 2020, Axess kredi kartınızla BP akaryakıt istasyonlarından farklı günlerde yapacağınız 125 TL ve üzeri 4 adet akaryakıt alışverişinizde 30 TL değerinde chip para kazanacaksınız. Kampanya 16 Mayıs - 30 Haziran 2020 tarihleri arasında axess mobil üzerinden yapılacak katılımlarda geçerlidir.  Kazanılan chip paralara 8...
2, Opet akaryakıt world kredi kartı kampanyası 16 Mayıs – 30 Haziran 2020, World kredi kartı sahipleri Opet akaryakıt istasyonlarında geçerli kampanya kapsamında farklı günerde yapacakları 125 TL ve üzeri 4 adet harcamada 40 TL değerinde opet puan kazanacak. Kampanyaya world mobilden 16 Mayıs - 30 Haziran 2020 tarihleri arasında katılabilirsiniz. Üstelik yapı kredi...
3, Shell akaryakıt maximum kart kampanyası 16 Mayıs – 30 Haziran 2020, Shell akaryakıt istasyonlarından farklı günlerde yapacağınız 125 TL ve üzeri 4. harcamanızda 40 TL değerinde maxi puan kazanacaksınız. Kampanya 16 Mayıs – 30 Haziran 2020 tarihleri arasında anlaşmalı istasyonlarda geçerli olacaktır. Ödemeler maximum posundan yapılacaktır. Kazanılan puanlar 7-19 Temmuz tarihleri arasında...
4, Petrol ofisi akaryakıt world kart kampanyası 1 Nisan – 15 Mayıs 2020, World kredi kartı sahipleri Petrol ofisi akaryakıt istasyonlarından farklı günlerde yapacakları 125 TL ve üzeri 4 adet alışverişte 40 TL değerinde world puan kazanacak. Kampanyaya 1 Nisan - 15 Mayıs 2020 tarihleri arasında world mobil uygulamasından katılabilirsiniz.  Ödemeler world kart posundan...
5, Paraf kart Opet akaryakıt kampanyası 1 Mart-15 Nisan 2020, Paraf kredi kartı sahipleri Opet akaryakıt istasyonlarından farklı günlerde yapacakları 125 TL ve üzeri 4 adet harcamada 40 TL değerinde paraf para kazanacak. Kampanya 1 Mart-15 Nisan 2020 tarihleri arasında üye iş yerlerinde geçerli olacaktır. Kampanyaya paraf mobilden katılım zorunludur....
6, Total akaryakıt axess kredi kartı kampanyası 16 Şubat – 31 Mart 2020, Axess kredi kartı sahipleri Total akaryakıt istasyonlarından farklı günlerde yapacakları 125 TL ve üzeri 4 adet alışverişte 40 TL değerinde chip para kazanacak. Kampanya 16 Şubat - 31 Mart 2020 tarihleri arasında ÜYE Total istasyonlarında geçerli olacaktır.  Kampanyaya axess mobil uygulamasından...
7, World kart Bp akaryakıt kampanyası 16 Şubat – 31 Mart 2020, World kredi kartı sahiplerine özel Bp akaryakıt kampanyası kapsamında üye Bp akaryakıt istasyonlarından farklı günlerde yapacağınız 125 TL ve üzeri 4 adet harcamada 40 TL değerinde BP puan kazanabilirisiniz. Kampanya 16 Şubat - 31 Mart 2020 tarihleri arasında world mobil...
8, Shell akaryakıt bonus kart kampanyası 16 Şubat – 31 Mart 2020, Bonus kredi kartı sahipleri Shell akaryakıt kampanyası kapsamında farklı günlerde yapacakları 125 TL ve üzeri 4 adet harcamada 30 TL değerinde bonus kazanacak. Kampanya 16 Şubat – 31 Mart 2020 tarihleri arasında geçerli olacaktır. Kazanılan bonuslar 6 Nisan - 13...
9, Opet yeni çekiliş kampanyası 3 Şubat – 1 Mart 2020, Opet akaryakıt kampanyaları devam ediyor. Opette Şubat ayına özel çekiliş kampanyasında opet kartınızla yapacağınız her 25 TL ve katları harcamada 1 çekiliş hakkı kazanacaksınız. Çekiliş sonucunda her hafta 100 kişi 1000 TL değerinde yakıt kazanacak.  Kampanya 3 Şubat - 1 Mart 2020...
10, Petrol ofisi akaryakıt axess kredi kartı kampanyası 1 Ocak – 15 Şubat 2020, Axess kredi kartına özel Petrol Ofisi akaryakıt kampanyası kapsamında üye istasyonlardan farklı günlerde yapacağınız 125 TL ve üzeri 4 adet alışverişte 40 TL chip para kazanacaksınız. Kazanılan chip paraları 22 Şubat tarihine kadar sadece Petrol ofisi istasyonlarında kullanabileceksiniz.  Kampanyaya axess mobil...
11, Bp akaryakıt bonus kart kampanyası 1 Ocak – 15 Şubat 2020," Bp akaryakıt istasyonlarında Bonus kredi kartınızla farklı günlerde yapacağınız 125 TL ve üzeri 4 adet harcamada 30 TL değerinde bonus hediye edilecek. Kampanyaya 1 Ocak - 15 Şubat 2020 tarihleri arasında bonus flaş üzerinden katılabilirsiniz.  Kampanya üye istasyonlarda geçerlidir, ödemeyi bonus..."
12, Shell akaryakıt world kart kampanyası 1 Ocak – 15 Şubat 2020, Shell akaryakıt istasyonlarından world kredi kartınızla farklı günlerde yapacağınız 125 TL ve üzeri 4 adet harcamada 40 TL değerinde world puan kazanacaksınız. Kampanya 1 Ocak - 15 Şubat 2020 tarihleri arasında world mobil uygulamasından katılabilirsiniz.  Kampanya üye istasyonlarda geçerlidir yani yapı...
13, Petrol ofisi akaryakıt yılbaşı kampanyasında 100 TL hediye," Petrol Ofisi akaryakıt şirketi 2020 yılbaşına özel kampanyasında 500 kişiye 100 TL hediye yakıt veriyor. Kampanyaya katılmak için ""promoqube.com/apps/poapps/23122019/index.php"" adresinden Petrol Ofisi V/Max Active 3 Teknolojisi hakkında kısa videoyu izleyerek sorulacak üç soruya doğru bilenler ad soyad, telefon ve adres..."
14, Opet 50 TL alışverişe çeyrek Milli piyango bileti hediye 5 – 29 Aralık 2019, Opet ultramarket içerisinde bulunan ürünlerden 50 TL ve üzeri alışveriş yapan herkese Milli Piyango çeyrek bileti hediye ediliyor. Kampanya 5 - 29 Aralık 2019 tarihleri arasında tarihleri arasında geçerli olacaktır. Milli Piyango 2020 Yılbaşı çeyrek biletinizi opet kart ile yapılan...
15, Bp hopi akaryakıt kampanyası 30 paracık hediye 18 Kasım -31 Aralık 2019, BP akaryakıt istasyonlarında hopililer kazanmaya devam ediyor. Bp Hopi kampanyası kapsamında yapacağınız toplamda 500 TL ve üzeri akaryakıt harcamanızda 30 paracık kazanma şansını kaçırmayın!  Kapanya hopi üyesi Bp istasyonlarında 18 Kasım -31 Aralık 2019 tarihleri arasında hopi kimliği tanıtılarak yapılacak harcamalarda...
16, Total akaryakıt maximum kart kampanyası 16 Kasım – 31 Aralık 2019, 2019 yıl sonu akaryakıt kampanyaları devam ediyor. Bankalara birbiri ile anlaşmışçasına akaryakıt kampanya tarihleri ve şartları birbirleri ile aynı tutmuş. Maximum kartla Total akaryakıt istasyonlarından farklı günlerde yapacağınız 125 TL ve üzeri 4 adet harcamanızda 40 TL değerinde maxi puan...
17, Petrol ofisi akaryakıt bonus kart kampanyası 16 Kasım – 31 Aralık 2019, 2019 yılının sonuna kadar geçerli akaryakıt kampanyaları gelmeye devam ediyor. Bonus kredi kartınızla Petrol ofisi akaryakıt istasyonlarından farklı günlerde yapacağınız 125 TL ve üzeri 4 adet alışverişte 40 TL değerinde bonus kazanacaksınız.  Kampanyaya Bonus flaş uygulaması üzerinden 16 Kasım - 31...
18, World kart shell akaryakıt kampanyası 16 Kasım – 31 Aralık 2019, World kredi kartından Shell akaryakıt istasyonlarına özel kampanya kapsamında farklı günlerde yapacağınız 125 TL ve üzeri 4 adet harcamanızda 40 TL değerinde world puan kazanacaksınız. Kampanya 16 Kasım - 31 Aralık 2019 tarihleri arasında geçerli olacaktır.  Kazanılan world puan Shell istasyonlarında...
